,results
1143,0.026353955
1144,0.14363962
1145,0.050446212
1146,0.13616648
1147,0.07657915
1148,0.09351733
1149,0.08108419
1150,0.065068424
1151,0.11487752
1152,0.15773347
1153,0.09659228
1154,0.07081315
1155,0.055852264
1156,0.032652378
1157,0.14085618
1158,0.24041906
1159,0.37116486
1160,0.86981326
1161,0.9695524
1162,0.25760332
1163,0.406012
1164,0.21808657
1165,0.20863214
1166,0.42933702
1167,0.106701404
1168,0.12956068
1169,0.037819356
1170,0.22665602
1171,0.101180285
1172,0.15103877
1173,0.37457222
1174,0.030601561
1175,0.09534612
1176,5.662441e-07
1177,0.03639978
1178,0.1672802
1179,0.1487914
1180,0.47927293
1181,0.11770365
1182,0.3160952
1183,0.6275337
1184,0.24525094
1185,0.108986974
1186,0.17296037
1187,0.05291736
1188,0.17035079
1189,0.1605764
1190,0.01089263
1191,0.044649005
1192,0.039245307
1193,0.40138215
1194,0.68368924
1195,0.83360845
1196,0.6135272
1197,0.32359514
1198,0.60006255
1199,0.36696962
1200,0.2072523
1201,0.1974065
1202,0.4725171
1203,0.68686724
1204,0.21909785
1205,0.1332528
1206,0.3528181
1207,0.5278103
1208,0.20426482
1209,0.06366202
1210,0.20252219
1211,0.13329631
1212,0.05941215
1213,0.3672555
1214,0.11303797
1215,0.11846912
1216,0.6469556
1217,0.64847076
1218,0.25018427
1219,0.17555955
1220,7.748604e-07
1221,0.42827788
1222,0.42008805
1223,0.0025731921
1224,0.04013604
1225,0.0025884807
1226,0.12678567
1227,0.26817042
1228,0.23505503
1229,0.403713
1230,0.45688576
1231,0.49169436
1232,0.5435825
1233,0.13672414
1234,0.43653947
1235,0.19822457
1236,0.19974598
1237,0.51578665
1238,0.115306914
1239,0.23090771
1240,0.2724616
1241,0.09878856
1242,0.31611705
1243,0.45302373
1244,0.026757091
1245,0.38506913
1246,0.09972358
1247,0.12174708
1248,0.3971863
1249,0.19967711
1250,0.24577028
1251,0.031217098
1252,0.04644069
1253,0.0624516
1254,0.13328618
1255,0.12589988
1256,0.06295401
1257,8.046627e-07
1258,0.46822292
1259,0.14686379
1260,0.7272104
1261,0.70423627
1262,0.41971594
1263,0.5690443
1264,0.5527536
1265,0.44914013
1266,0.2881685
1267,0.312829
1268,0.6489398
1269,0.36729074
1270,0.44137582
1271,0.19958702
1272,0.218698
1273,0.15455693
1274,0.17153326
1275,0.16875523
1276,0.25984073
1277,0.13491482
1278,0.18885577
1279,0.7986952
1280,0.29194182
1281,0.33035666
1282,0.20143345
1283,0.014701396
1284,0.2652189
1285,0.21391207
1286,0.3347751
1287,0.10059452
1288,0.019193798
1289,0.071309
1290,0.07706764
1291,0.2695537
1292,2.2351742e-06
1293,0.031143457
1294,0.088140905
1295,0.0671612
1296,0.045384616
1297,0.95687723
1298,0.28361562
1299,0.296653
1300,0.2703306
1301,0.7133128
1302,0.1276038
1303,0.10863304
1304,0.14741993
1305,0.84363306
1306,0.6224902
1307,0.49154654
1308,0.5283702
1309,0.18891215
1310,0.12989512
1311,0.05475405
1312,0.29870605
1313,0.042579204
1314,0.866253
1315,0.050297886
1316,0.19725621
1317,0.18550277
1318,0.041341603
1319,0.42788297
1320,0.034916222
1321,0.505492
1322,0.2528219
1323,0.08479434
1324,9.387732e-06
1325,0.22288224
1326,0.025558472
1327,0.12274608
1328,0.59777087
1329,0.8975035
1330,0.37873852
1331,0.0006482601
1332,0.7206596
1333,0.54983705
1334,0.7293192
1335,0.3509016
1336,0.6168658
1337,0.32438844
1338,0.11972055
1339,0.259441
1340,0.7728747
1341,0.3478816
1342,0.10640311
1343,0.3447846
1344,0.86100876
1345,0.17685112
1346,0.25436622
1347,0.317791
1348,0.80402464
1349,0.8795629
1350,0.12135142
1351,0.13191667
1352,0.030764878
1353,0.094551355
1354,0.16830403
1355,0.014840156
1356,0.17298222
1357,0.041037887
1358,0.050560236
1359,7.7188015e-06
1360,0.11865863
1361,0.06307918
1362,0.7020998
1363,0.12619984
1364,0.66747534
1365,0.053779125
1366,0.005583942
1367,0.7510334
1368,0.81937003
1369,0.9152118
1370,0.8787278
1371,0.8538875
1372,0.15243244
1373,0.20432109
1374,0.5400041
1375,0.12258285
1376,0.23956072
1377,0.59667087
1378,0.611678
1379,0.8345034
1380,0.06810865
1381,0.29727116
1382,0.029810697
1383,0.33910102
1384,0.16666806
1385,0.102591515
1386,0.08060247
1387,0.12533158
1388,0.24056283
1389,0.013939649
1390,5.841255e-06
1391,0.040001154
1392,0.7885497
1393,0.11857629
1394,0.006606251
1395,0.21842295
1396,0.005255848
1397,0.02649486
1398,0.88854086
1399,0.06679696
1400,0.22906196
1401,0.066936046
1402,0.74615705
1403,0.850768
1404,0.89289105
1405,0.79034495
1406,0.4744061
1407,0.424141
1408,0.35182524
1409,0.68723845
1410,0.27534747
1411,0.81260186
1412,0.3909974
1413,0.62304276
1414,0.8446486
1415,0.38050118
1416,0.69688714
1417,0.26154673
1418,0.4540089
1419,0.07514411
1420,0.20437688
1421,0.12856859
1422,0.6505269
1423,0.09205672
1424,0.32723916
1425,0.015208244
1426,0.50829303
1427,0.024326265
1428,5.6922436e-06
1429,0.6799841
1430,0.26010907
1431,0.104236335
1432,0.0025894642
1433,0.12521261
1434,0.6837741
1435,0.6948592
1436,0.18490976
1437,0.27468884
1438,0.32707027
1439,0.69802356
1440,0.3761432
1441,0.73230624
1442,0.29298505
1443,0.95049965
1444,0.6884414
1445,0.35288918
1446,0.57924795
1447,0.50846964
1448,0.5437712
1449,0.4264
1450,0.34791404
1451,0.48050487
1452,0.35363674
1453,0.4613619
1454,0.24225646
1455,0.6456085
1456,0.68895143
1457,0.26914844
1458,0.5270983
1459,0.1655373
1460,0.52783334
1461,0.46191812
1462,0.7234988
1463,0.14372513
1464,3.3676624e-06
1465,0.09727281
1466,0.093155414
1467,0.00907743
1468,0.7026164
1469,0.00905624
1470,0.005524814
1471,0.7490717
1472,0.76166457
1473,0.9497363
1474,0.8038149
1475,0.8538733
1476,0.5855723
1477,0.25752503
1478,0.63015276
1479,0.54910845
1480,0.46408975
1481,0.43751216
1482,0.19014165
1483,0.4244332
1484,0.6610751
1485,0.7408701
1486,0.13673306
1487,0.12226185
1488,0.8956084
1489,0.27824432
1490,0.7658902
1491,0.7473573
1492,0.26965752
1493,0.87322116
1494,0.36847898
1495,0.05160895
1496,0.8245159
1497,0.32623607
1498,0.089224696
1499,0.5598039
1500,0.016836256
1501,0.079597324
1502,0.23885855
1503,5.2452087e-06
1504,0.14466923
1505,0.04053238
1506,0.7150356
1507,0.13339087
1508,0.013267428
1509,0.048035026
1510,0.024063468
1511,0.59503525
1512,0.7781449
1513,0.9513639
1514,0.9800894
1515,0.4944484
1516,0.68395174
1517,0.7792164
1518,0.3816957
1519,0.9534699
1520,0.9313364
1521,0.31954706
1522,0.5320507
1523,0.9013781
1524,0.4348873
1525,0.4728412
1526,0.43752575
1527,0.07913026
1528,0.25592914
1529,0.539611
1530,0.03463626
1531,0.6460439
1532,0.517032
1533,0.786078
1534,0.061105937
1535,0.8171854
1536,0.040191084
1537,0.07136226
1538,0.41705495
1539,0.028967649
1540,0.00019323826
1541,0.094430715
1542,0.11937952
1543,0.0027367473
1544,0.050694615
1545,0.0034858286
1546,0.14943123
1547,0.0022869706
1548,0.1674822
1549,0.13079584
1550,0.10249704
1551,0.043534517
1552,0.12029916
1553,0.16217324
1554,0.126831
1555,0.24711865
1556,0.25924402
1557,0.42443016
1558,0.40378523
1559,0.24983615
1560,0.9145274
1561,0.66653645
1562,0.2492418
1563,0.5496852
1564,0.06962401
1565,0.14540845
1566,0.508604
1567,0.31085157
1568,0.66773874
1569,0.07019979
1570,0.89979184
1571,0.08982414
1572,0.13903415
1573,0.07624978
1574,0.7248093
1575,0.9836844
1576,0.03559771
1577,0.018731654
1578,0.7428843
1579,0.16469932
1580,0.26494902
1581,0.81999415
1582,0.14632061
1583,0.10723758
1584,0.27045068
1585,0.83278215
1586,0.0057248175
1587,0.030458063
1588,0.5152941
1589,0.12632298
1590,0.18611169
1591,0.17494372
1592,0.56502336
1593,0.62359077
1594,0.86643374
1595,0.8314333
1596,0.4880772
1597,0.58285266
1598,0.5597707
1599,0.21296743
1600,0.2956967
1601,0.39746276
1602,0.4283566
1603,0.7232637
1604,0.65818
1605,0.3461545
1606,0.7217111
1607,0.18665498
1608,0.33044022
1609,0.3576535
