,results
1291,0.89088714
1292,0.9015237
1293,2.6017427e-05
1294,0.015918791
1295,0.23676968
1296,0.101346314
1297,0.00048026443
1298,0.0029376745
1299,0.00034090877
1300,0.0028259754
1301,0.0031653345
1302,0.9999203
1303,0.011238366
1304,0.0
1305,5.7071447e-05
1306,2.8312206e-05
1307,1.1920929e-07
1308,0.07203999
1309,0.00023025274
1310,0.8830085
1311,0.00022745132
1312,1.1622906e-06
1313,2.6106834e-05
1314,0.9956671
1315,1.2218952e-06
1316,4.8309565e-05
1317,0.0016917586
1318,0.00070533156
1319,1.4305115e-05
1320,0.0
1321,0.0020744503
1322,0.0035766661
1323,0.99382144
1324,1.9431114e-05
1325,0.28550833
1326,0.9998413
1327,0.0889346
1328,0.00017276406
1329,0.0003836453
1330,0.0062732995
1331,0.77497864
1332,0.020405918
1333,0.15517092
1334,0.0007250309
1335,0.99995697
1336,0.99930495
1337,0.00017151237
1338,0.644979
1339,0.0024439394
1340,0.008485645
1341,4.172325e-07
1342,0.56833017
1343,5.733967e-05
1344,0.00012674928
1345,0.00040653348
1346,0.00881359
1347,0.0030951202
1348,0.27912402
1349,0.32558528
1350,2.1755695e-06
1351,0.00011074543
1352,0.99991465
1353,0.0
1354,0.0002760291
1355,0.99997985
1356,0.0012800097
1357,0.00014385581
1358,0.0011728406
1359,0.9990275
1360,0.0007226765
1361,0.9999982
1362,0.98721766
1363,3.6358833e-06
1364,0.00011077523
1365,0.114124626
1366,0.00024920702
1367,6.943941e-06
1368,1.2636185e-05
1369,0.0014361143
1370,3.5762787e-07
1371,0.032186717
1372,0.00026112795
1373,1.4901161e-07
1374,0.002334863
1375,7.4505806e-07
1376,0.014812142
1377,0.5795482
1378,3.84748e-05
1379,0.0
1380,0.00035971403
1381,3.3974648e-05
1382,0.94087565
1383,0.99756956
1384,0.0016243756
1385,8.136034e-06
1386,0.053533256
1387,0.045125306
1388,0.9894953
1389,0.67743194
1390,0.17898574
1391,0.00080382824
1392,0.000107795
1393,0.9999795
1394,0.14742348
1395,0.0035415888
1396,8.583069e-06
1397,1.1265278e-05
1398,0.9928842
1399,2.2172928e-05
1400,0.06005016
1401,3.993511e-06
1402,2.9802322e-07
1403,7.635355e-05
1404,0.99569356
1405,0.67874086
1406,1.2218952e-06
1407,0.89605665
1408,0.6317952
1409,0.00010505319
1410,0.03398484
1411,0.01136893
1412,0.0022082925
1413,0.0013613403
1414,1.0699034e-05
1415,0.95298994
1416,0.0003182888
1417,0.0072388053
1418,5.9604645e-08
1419,0.0033095777
1420,0.00024542212
1421,0.9378138
1422,0.061954767
1423,0.009778082
1424,0.9999999
1425,4.7683716e-07
1426,8.225441e-06
1427,0.06647888
1428,0.0
1429,2.9414892e-05
1430,2.682209e-07
1431,5.2452087e-05
1432,0.023654193
1433,0.0006596148
1434,0.00034451485
1435,0.018511951
1436,0.07233128
1437,0.10842988
1438,1.8686056e-05
1439,0.99970675
1440,1.0
1441,0.3695682
1442,0.011837006
1443,0.0011878908
1444,0.007915497
1445,0.9999398
1446,7.3611736e-06
1447,0.00016880035
1448,1.001358e-05
1449,0.00034812093
1450,0.74022245
1451,0.5707633
1452,0.016696543
1453,1.013279e-06
1454,6.854534e-06
1455,0.008959681
1456,5.9604645e-08
1457,0.006841719
1458,0.0
1459,2.8908253e-06
1460,0.00019294024
1461,6.6161156e-06
1462,0.99971926
1463,0.0
1464,0.05961573
1465,0.104827106
1466,4.172325e-07
1467,0.0024662912
1468,2.3841858e-07
1469,0.39853466
1470,0.99999917
