round_epochs,val_loss,val_acc,loss,acc,first_layer,second_layer,batch_size,epochs
40,0.304853771,0.905764967,0.269172493,0.903425309,128,128,64,40
160,0.300481087,0.88580931,0.271446297,0.902949572,64,16,256,160
80,0.312897402,0.905764963,0.271051532,0.902473835,512,16,256,80
40,0.309445601,0.906873614,0.259687145,0.901998097,512,512,128,40
160,0.297409748,0.904656309,0.277121987,0.901998097,256,32,512,160
160,0.289188794,0.894678495,0.262920649,0.901998097,128,256,512,160
40,0.329831329,0.896895787,0.278993468,0.900570885,64,512,64,40
160,0.307562602,0.889135255,0.273711381,0.900570884,64,32,256,160
80,0.312640098,0.895787138,0.295214209,0.900095147,512,64,256,80
80,0.281436588,0.89135255,0.260691194,0.899143673,16,64,64,80
80,0.350962641,0.892461198,0.289825123,0.898667935,256,256,256,80
40,0.352461825,0.898004435,0.292481254,0.897716461,256,64,64,40
160,0.279041611,0.890243902,0.262436492,0.896764986,8,16,128,160
80,0.299770123,0.892461197,0.274641895,0.896764986,16,128,64,80
80,0.311476228,0.899113082,0.268564895,0.896764986,32,512,128,80
